"Table 3: Estimated population by sex, five year age group and administrative area, mid-2019",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Persons,,,,Age group,,,,,,,,,,,,,,,,,,,,Persons
Area code1,Area name,All Ages,,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90+,,Area
S12000018,Inverclyde,"37,288",,"1,826","2,151","2,147","2,034","2,312","2,324","2,199","2,148","1,947","2,288","2,949","3,200","2,646","2,220","1,950","1,385",927,433,202,,Inverclyde
S12000019,Midlothian,"44,434",,"2,985","2,905","2,667","2,464","2,396","2,662","2,848","2,944","2,695","3,001","3,160","3,123","2,726","2,461","2,313","1,464",956,476,188,,Midlothian
S12000020,Moray,"47,546",,"2,327","2,635","2,794","2,756","2,921","2,742","2,791","2,765","2,728","3,271","3,660","3,565","3,143","2,840","2,525","1,821","1,271",672,319,,Moray
S12000013,Na h-Eileanan Siar,"13,196",,588,711,780,621,609,555,656,655,745,941,"1,049","1,092","1,039",949,878,587,425,194,122,,Na h-Eileanan Siar
S12000021,North Ayrshire,"64,151",,"3,224","3,627","3,949","3,631","4,043","3,759","3,278","3,229","3,159","4,074","4,843","5,033","4,637","4,127","3,973","2,704","1,661",870,330,,North Ayrshire
S12000050,North Lanarkshire,"165,363",,"9,279","10,208","10,640","9,822","10,637","10,594","10,253","11,047","10,362","11,503","12,944","11,993","9,976","8,511","7,419","4,913","3,164","1,531",567,,North Lanarkshire
S12000023,Orkney Islands,"11,086",,507,616,624,517,604,596,636,571,575,697,871,931,800,750,686,514,352,165,74,,Orkney Islands
S12000048,Perth and Kinross,"74,729",,"3,496","4,068","4,133","4,172","4,026","4,502","4,068","4,490","4,078","4,691","5,666","5,689","5,148","4,836","4,494","3,097","2,179","1,336",560,,Perth & Kinross
S12000038,Renfrewshire,"86,573",,"4,573","4,973","4,876","4,770","5,434","6,055","5,945","5,715","4,795","5,575","6,700","6,583","5,663","4,557","4,121","2,817","1,974",970,477,,Renfrewshire
S12000026,Scottish Borders,"56,123",,"2,700","3,228","3,123","2,951","2,863","2,555","2,530","2,748","2,801","3,741","4,593","4,649","4,311","3,945","3,932","2,533","1,728",865,327,,Scottish Borders
S12000027,Shetland Islands,"11,685",,611,738,709,640,623,661,729,664,724,809,882,856,776,690,654,450,286,131,52,,Shetland Islands
S12000028,South Ayrshire,"53,709",,"2,552","2,935","2,924","2,880","2,992","2,826","2,638","2,617","2,676","3,493","3,988","4,279","3,971","3,754","3,619","2,541","1,735",895,394,,South Ayrshire
S12000029,South Lanarkshire,"155,033",,"8,632","9,167","8,911","8,485","9,061","9,308","8,973","9,764","9,203","11,085","12,002","12,052","10,417","8,911","7,799","5,260","3,490","1,802",711,,South Lanarkshire
S12000030,Stirling,"45,433",,"2,150","2,462","2,694","2,913","3,738","3,079","2,580","2,482","2,560","2,898","3,524","3,324","2,792","2,460","2,294","1,605","1,121",553,204,,Stirling
S12000039,West Dunbartonshire,"42,518",,"2,353","2,640","2,572","2,297","2,617","2,917","2,793","2,493","2,265","2,689","3,258","3,334","2,993","2,386","2,112","1,307",865,445,182,,West Dunbartonshire
S12000040,West Lothian,"89,953",,"5,258","5,919","6,067","5,147","5,371","5,566","5,768","6,020","5,783","6,594","7,004","6,447","5,206","4,287","4,056","2,602","1,713",803,342,,West Lothian
,,,,,,,,,,,,,,,,,,,,,,,,
,NHS Board areas,,,,,,,,,,,,,,,,,,,,,,,NHS Board areas
S08000015,Ayrshire and Arran,"177,049",,"9,020","10,076","10,241","9,687","10,543","10,172","9,485","9,284","9,098","11,600","13,445","13,729","12,629","11,491","10,867","7,367","4,866","2,451",998,,Ayrshire & Arran
S08000016,Borders,"56,123",,"2,700","3,228","3,123","2,951","2,863","2,555","2,530","2,748","2,801","3,741","4,593","4,649","4,311","3,945","3,932","2,533","1,728",865,327,,Borders
S08000017,Dumfries and Galloway,"72,435",,"3,215","3,807","4,036","3,754","3,957","3,686","3,677","3,483","3,328","4,489","5,547","5,918","5,422","5,312","5,053","3,559","2,409","1,272",511,,Dumfries & Galloway
S08000029,Fife,"181,414",,"9,481","10,970","10,628","10,404","11,966","11,059","10,236","10,553","10,384","12,078","13,642","13,231","11,802","10,407","10,253","6,664","4,404","2,227","1,025",,Fife
S08000019,Forth Valley,"149,627",,"7,690","8,633","8,889","8,798","9,960","9,267","8,756","8,858","9,095","10,580","11,768","11,174","9,290","8,229","7,738","5,040","3,426","1,726",710,,Forth Valley
S08000020,Grampian,"291,283",,"15,640","16,759","16,188","14,913","18,101","21,012","21,605","20,353","18,613","19,858","20,742","20,118","17,917","15,498","14,003","9,031","6,203","3,301","1,428",,Grampian
S08000031,Greater Glasgow and Clyde,"574,694",,"31,102","33,279","31,144","30,934","42,619","51,131","47,032","40,790","33,617","35,589","39,626","39,191","33,618","26,902","23,247","15,606","11,018","5,723","2,526",,Greater Glasgow & Clyde
S08000022,Highland,"158,311",,"7,464","8,369","9,119","8,569","9,182","8,597","8,461","9,026","8,682","9,968","12,198","12,467","11,483","10,548","9,914","6,676","4,285","2,350",953,,Highland
S08000032,Lanarkshire,"320,396",,"17,911","19,375","19,551","18,307","19,698","19,902","19,226","20,811","19,565","22,588","24,946","24,045","20,393","17,422","15,218","10,173","6,654","3,333","1,278",,Lanarkshire
S08000024,Lothian,"442,123",,"23,883","25,505","24,365","22,578","31,703","37,194","36,546","32,594","28,818","29,559","30,191","28,668","24,217","20,445","18,656","12,013","8,453","4,625","2,110",,Lothian
S08000025,Orkney,"11,086",,507,616,624,517,604,596,636,571,575,697,871,931,800,750,686,514,352,165,74,,Orkney Islands
S08000026,Shetland,"11,685",,611,738,709,640,623,661,729,664,724,809,882,856,776,690,654,450,286,131,52,,Shetland Islands
S08000030,Tayside,"203,581",,"10,170","11,231","11,090","11,499","13,638","14,758","13,060","12,234","10,745","12,315","14,440","14,706","13,155","11,872","11,240","7,673","5,339","3,119","1,297",,Tayside
